Index,Subject Number,Subject Name,Group Assignments,Assignment Types,Keywords,Handbook Link
0,42890,4G/5G Mobile Technologies,1,"Quiz/test,Laboratory/practical,Examination,Presentation","LTE,5G,4G,Mobile Networks,Mobile Technologies  ",https://handbook.uts.edu.au/subjects/42890.html
1,13992,Aboriginal Sydney Now,0,"Quiz/test,Essay","Indigenous Australia,Aboriginal and Torres Strait Islander Communities,Human Rights,Social Justice,Critical Race Theory ",https://handbook.uts.edu.au/subjects/013992.html
2,41051,Accelerating Your Prototyping and Commercialisation Strategies,0,Portfolio,"Prototyping,Commercialisation,Design Thinking,Scrum",https://handbook.uts.edu.au/subjects/details/41051.html
3,48371,Advanced Engineering Computing,1,Project,"Numerical Analysis,MATLAB,Algorithms,Linear Equations,Numerical Integration",https://handbook.uts.edu.au/subjects/details/48371.html
4,49312,Advanced Flow Modelling,1,"Project,Report","Flow Modelling,Computational Fluid Dynamics,Navier Stokes Equations, ",https://handbook.uts.edu.au/subjects/details/49312.html
5,48663,Advanced Manufacturing,1,"Report,Laboratory/practical","Quality Management,Manufacturing,Process Programming,Industrial Robotics,3D Scanning,Additive Manufacturing",https://handbook.uts.edu.au/subjects/details/48663.html
6,49274,Advanced Robotics,1,"Laboratory/practical,Presentation,Report,Examination","Robotics, Mechatronics,Embedded C,Object-Oriented Design,Programming,Sensors,Data Fusion,Actuators",https://handbook.uts.edu.au/subjects/details/49274.html
7,49254,Advanced Soil Mechanics and Foundation Design,0,"Report,Case Study","Soil Mechanics,Earthquake Geotechnics",https://handbook.uts.edu.au/subjects/details/49254.html
8,42991,Advanced Water and Wastewater Treatment,0,Report,"Wastewater Treatment,Water Quality,Water Chemistry,Desalination Plant Design",https://handbook.uts.edu.au/subjects/details/42991.html
9,49049,Air and Noise Pollution,1,"Report,Exercises","Air Pollution,Noise Pollution,Air Quality,Climate Change",https://handbook.uts.edu.au/subjects/details/49049.html
10,49322,Airconditioning,0,"Laboratory/practical,Examination,Project,Exercises","Airconditioning,Indoor Environmental Quality,Heating and Cooling Loads,Duct Design",https://handbook.uts.edu.au/subjects/details/49322.html
11,49136,Application of Timber in Engineering Structures,1,"Exercises,Project,Presentation,",Timber,https://handbook.uts.edu.au/subjects/details/49136.html
12,48024,Applications Programming,0,"Laboratory/practical,Project,Quiz/test,","Programming,Debugging,Java,Object-Oriented Design",https://handbook.uts.edu.au/subjects/details/48024.html
13,49118,Applied Geotechnics,0,"Exercises,Project","Geotechnical Engineering,Soil Mechanics,Retaining Wall Analysis,Tunnelling Design,Rail Track Engineering,Geomechanics,Geotechnics",https://handbook.uts.edu.au/subjects/details/49118.html
14,36200,"Arguments, Evidence and Intuition",0,"Project,Report,Exercises","Descriptive Statistics,Arguments and Evidence,Correlation and Causation",https://handbook.uts.edu.au/subjects/details/36200.html
15,42001,Bioinformatics,1,"Quiz/test,Presentation,Report","Human Genome,DNA,RNA,Genomic Data",https://handbook.uts.edu.au/subjects/details/42001.html
16,49261,Biomedical Instrumentation,1,"Literature Review,Project,","Nervous System,Sirculatory System,Electrophysiological Instrumentation and Devices,Electromyography,Electroencephalograms,Electrocardiograms,Biomedical Devices",https://handbook.uts.edu.au/subjects/details/49261.html
17,42906,Biomedical Signal Processing,1,"Project,Examination","Signal Processing,Joint Time-Frequency Analysis,Image Processing,Biomedical Signals/Images,Cardiorespiratory Signals,",https://handbook.uts.edu.au/subjects/details/42906.html
18,49131,Bridge Design,0,Report,"Bridges,Bridge Design,Waterway Bridges,Bridge Engineering",https://handbook.uts.edu.au/subjects/details/49131.html
19,49255,Catchment Modelling,0,Report,"Catchment Modelling,Numerical Solution Techniques",https://handbook.uts.edu.au/subjects/details/49255.html
20,65111,Chemistry 1,1,"Laboratory/practical,Quiz/test,Examination","Periodic Table,Atoms,Elements,Chemical Reactions,Moles,Stoichiometry,Ionic and Covalent Bonds,pH",https://handbook.uts.edu.au/subjects/details/65111.html
21,48530,Circuit Analysis and Design,1,"Laboratory/practical,Quiz/test","AC Circuit Analysis,Circuits,Fourier Series,Laplace Transforms,Signals",https://handbook.uts.edu.au/subjects/details/48530.html
22,42903,MPLS and Services Architecture,0,"Examination,Laboratory/practical",https://handbook.uts.edu.au/subjects/details/42903.html,"Multiprotocol Label Switching,Services Architecture,Networks,Routing,Signalling Protocols"
